mode,distance_km,passengers,occupancy,traffic_index,temperature_c,rain_index,weekend,co2e_kg
Metro,13.448,1,111.1,0.833,11.56,0.925,1,0.55915
Walking,14.074,1,116.23,0.779,29.27,0.779,1,0.0
Bicycle,11.456,1,99.47,0.385,29.19,0.266,1,0.0
Bus,12.934,1,5.73,0.366,19.82,0.379,0,3.83675
Motorcycle,23.462,1,133.86,0.328,26.06,0.849,0,2.74353
Motorcycle,8.195,1,114.42,0.735,16.07,0.695,1,1.00293
Walking,17.006,1,125.85,0.936,14.12,0.959,1,0.0
Bus,15.841,1,9.89,0.253,27.7,0.095,1,2.73934
Car,15.554,3,3.0,0.523,32.92,0.799,1,1.08036
Bus,6.435,1,5.35,0.088,29.74,0.419,1,2.06577
Bicycle,20.57,1,121.88,0.271,20.93,0.314,0,0.00383
Car,19.761,4,4.0,0.73,26.59,0.936,0,1.15475
Metro,10.353,1,126.85,0.951,13.55,0.851,0,0.39865
Car,27.656,1,1.0,0.012,23.63,0.825,0,5.28897
Motorcycle,5.381,1,124.19,0.781,13.32,0.997,0,0.67
Walking,14.12,1,121.11,0.09,36.91,0.029,0,0.0
Motorcycle,11.817,1,116.85,0.656,11.08,0.005,0,1.2925
Car,3.281,2,2.0,0.057,34.03,0.928,1,0.3385
Walking,23.824,1,113.84,0.125,25.14,0.745,1,0.00092
Car,6.417,5,5.0,0.193,18.12,0.71,1,0.25299
Walking,13.51,1,123.8,0.884,31.29,0.173,0,0.0
Car,4.144,3,3.0,0.636,27.17,0.145,1,0.31475
Metro,2.687,1,117.35,0.941,14.45,0.508,0,0.11616
Walking,35.119,1,121.28,0.305,22.84,0.611,0,0.0
Walking,5.191,1,103.42,0.317,11.08,0.418,0,0.01937
Car,4.601,2,2.0,0.702,29.44,0.652,1,0.51822
Motorcycle,20.515,1,120.05,0.361,25.38,0.737,1,2.40859
Walking,9.846,1,113.76,0.314,35.12,0.494,0,0.00666
Car,20.772,1,1.0,0.334,15.19,0.314,0,4.07922
Walking,1.397,1,130.91,0.154,28.03,0.12,0,0.0
Metro,41.309,1,115.52,0.688,31.16,0.388,1,1.76544
Bus,17.429,1,23.35,0.166,35.09,0.989,0,1.26838
Motorcycle,23.931,1,131.23,0.393,12.4,0.755,1,2.80117
Bus,7.781,1,14.41,0.045,16.99,0.292,0,0.87166
Walking,0.738,1,106.51,0.844,29.13,0.649,1,0.0
Bicycle,11.872,1,125.65,0.338,35.33,0.483,1,0.00296
Bicycle,9.626,1,113.97,0.85,20.22,0.499,1,0.0
Metro,9.745,1,120.41,0.178,20.17,0.192,0,0.39595
Metro,14.964,1,108.41,0.007,18.34,0.703,1,0.68359
Bicycle,23.936,1,117.98,0.903,31.62,0.963,1,0.0
Bus,16.625,1,8.59,0.553,29.62,0.97,1,3.51238
Car,30.935,2,2.0,0.346,13.72,0.041,1,3.12924
Bicycle,17.663,1,105.8,0.412,33.81,0.085,0,0.0
Metro,14.893,1,123.58,0.373,11.46,0.109,1,0.56337
Bicycle,13.999,1,109.74,0.801,11.47,0.235,0,0.0
Metro,10.51,1,115.04,0.03,22.04,0.896,1,0.4331
Bicycle,0.715,1,140.39,0.299,27.71,0.397,0,0.0
Motorcycle,3.967,1,124.2,0.718,34.22,0.999,1,0.49043
Motorcycle,9.236,1,106.15,0.392,37.46,0.497,0,1.1121
Car,4.006,3,3.0,0.453,29.04,0.343,0,0.28212
Walking,10.135,1,117.26,0.897,17.05,0.325,1,0.00482
Motorcycle,0.538,1,122.18,0.299,17.24,0.322,1,0.06339
Bus,13.441,1,21.1,0.784,23.15,0.476,1,1.25881
Metro,7.33,1,126.33,0.102,29.59,0.955,1,0.28862
Walking,19.211,1,113.39,0.041,17.38,0.066,0,0.0
Motorcycle,21.106,1,111.75,0.385,11.82,0.698,1,2.36993
Walking,8.69,1,119.89,0.112,35.88,0.001,0,0.0
Motorcycle,2.43,1,117.19,0.841,17.81,0.322,0,0.27521
Walking,4.776,1,122.26,0.93,11.46,0.461,0,0.00448
Motorcycle,14.967,1,122.23,0.009,15.65,0.031,0,1.45993
Bicycle,19.784,1,111.84,0.849,10.14,0.853,1,0.01798
Bus,7.719,1,18.09,0.919,23.63,0.603,0,0.88112
Car,4.785,2,2.0,0.799,28.02,0.216,1,0.55162
Bus,15.835,1,3.73,0.019,14.96,0.725,1,7.53317
Bicycle,24.242,1,130.81,0.126,14.31,0.693,0,0.0006
Motorcycle,3.259,1,119.36,0.993,27.54,0.127,1,0.40598
Walking,8.816,1,118.79,0.051,27.84,0.295,0,0.0
Metro,9.372,1,128.47,0.874,17.61,0.611,0,0.36324
Metro,13.389,1,128.8,0.758,39.5,0.419,1,0.50781
Metro,6.508,1,115.97,0.094,36.69,0.395,0,0.27882
Bicycle,3.864,1,131.5,0.859,37.38,0.212,0,0.0
Bus,10.487,1,17.06,0.742,31.93,0.783,1,1.14516
Metro,7.669,1,112.85,0.1,16.13,0.744,0,0.35666
Car,10.536,5,5.0,0.395,19.57,0.609,1,0.46453
Bus,19.405,1,14.08,0.197,21.32,0.394,0,2.34978
Motorcycle,13.803,1,125.33,0.244,12.97,0.754,0,1.56251
Bus,17.863,1,14.74,0.468,17.78,0.045,0,2.05996
Car,10.747,5,5.0,0.111,17.57,0.295,0,0.42889
Bicycle,12.057,1,111.11,0.953,12.15,0.138,1,0.0
Motorcycle,5.193,1,116.73,0.253,14.81,0.852,0,0.57455
Metro,14.302,1,123.12,0.76,33.17,0.207,1,0.61274
Walking,8.664,1,120.56,0.846,15.38,0.414,0,0.0
Bus,19.617,1,29.49,0.531,17.45,0.245,0,1.16379
Car,11.189,2,2.0,0.491,25.89,0.537,1,1.20877
Bus,10.312,1,27.32,0.953,14.91,0.554,0,0.71948
Car,19.077,2,2.0,0.917,19.65,0.608,0,2.26487
Bus,7.819,1,2.0,0.818,32.25,0.469,1,7.59773
Car,3.775,5,5.0,0.794,28.68,0.751,0,0.17963
Bicycle,11.283,1,119.12,0.002,39.8,0.281,0,0.0
Bus,10.529,1,17.15,0.393,37.66,0.319,0,1.04524
Bicycle,7.469,1,123.55,0.95,20.28,0.177,0,0.00736
Walking,15.786,1,122.65,0.75,39.75,0.531,1,0.0
Motorcycle,25.877,1,130.52,0.403,26.85,0.72,0,3.01592
Bicycle,17.784,1,114.17,0.408,23.2,0.126,1,0.0034
Motorcycle,7.7,1,123.03,0.327,15.93,0.778,1,0.83837
Bicycle,4.347,1,117.81,0.139,18.51,0.675,0,0.00316
Bicycle,15.627,1,117.08,0.61,17.65,0.625,0,0.01046
Bicycle,11.867,1,123.88,0.4,36.25,0.61,1,0.0
Motorcycle,16.245,1,127.79,0.49,28.97,0.334,1,1.82362
Bus,14.908,1,21.5,0.745,32.94,0.763,1,1.42974
Metro,25.776,1,123.29,0.258,27.58,0.41,0,1.08097
Metro,21.341,1,119.52,0.336,33.93,0.839,1,0.87615
Bicycle,3.962,1,107.26,0.193,14.62,0.423,1,0.02809
Walking,25.27,1,118.79,0.791,18.12,0.885,1,0.0
Bus,2.487,1,15.79,0.552,25.02,0.686,0,0.29362
Car,22.513,5,5.0,0.728,39.3,0.318,0,1.02786
Bus,15.451,1,9.22,0.787,34.96,0.821,1,3.33911
Bus,25.99,1,8.78,0.893,14.32,0.879,1,5.82266
Car,13.146,3,3.0,0.001,23.09,0.775,0,0.8751
Bus,30.158,1,16.05,0.861,34.69,0.539,1,3.57053
Car,9.076,1,1.0,0.257,32.57,0.504,1,1.99268
Bicycle,0.84,1,115.65,0.751,13.57,0.086,0,0.01019
Motorcycle,20.117,1,127.7,0.137,29.61,0.449,1,2.1863
Bus,25.789,1,6.66,0.221,29.68,0.289,0,6.37713
Bicycle,5.061,1,134.41,0.027,11.48,0.602,0,0.0
Bus,4.446,1,5.2,0.561,21.56,0.271,0,1.48526
Metro,18.121,1,125.06,0.001,16.37,0.895,1,0.7282
Metro,9.243,1,128.06,0.936,11.78,0.215,0,0.33986
Metro,4.76,1,111.53,0.207,22.68,0.176,0,0.20345
Car,5.988,2,2.0,0.357,17.94,0.61,0,0.62866
Bicycle,5.784,1,108.98,0.115,28.59,0.122,1,0.01325
Walking,23.339,1,126.26,0.044,22.04,0.324,1,0.0
Car,15.136,3,3.0,0.979,24.96,0.494,0,1.19555
Walking,12.925,1,120.21,0.321,15.8,0.103,1,0.0
Walking,28.826,1,128.36,0.633,37.8,0.933,1,0.0
Bus,19.386,1,11.62,0.659,26.63,0.321,1,3.0781
Bus,29.672,1,25.99,0.389,16.44,0.563,1,2.03011
Bicycle,5.179,1,125.2,0.669,11.58,0.946,1,0.00373
Bus,6.257,1,13.2,0.68,26.88,0.027,0,0.80633
Bicycle,1.351,1,120.48,0.787,19.92,0.879,1,0.00824
Bus,11.595,1,14.84,0.497,26.09,0.965,0,1.42647
Walking,3.794,1,120.43,0.374,13.03,0.811,1,0.0
Bus,0.632,1,27.86,0.37,22.53,0.118,1,0.03253
Bicycle,13.611,1,134.69,0.024,25.61,0.464,0,0.0
Bicycle,6.603,1,107.5,0.04,23.85,0.522,1,0.0
Motorcycle,16.913,1,111.4,0.947,22.15,0.809,0,2.20123
Walking,16.046,1,118.29,0.429,22.93,0.036,0,0.0
Metro,39.243,1,114.14,0.302,37.09,0.045,0,1.61505
Walking,13.151,1,123.73,0.535,37.47,0.567,1,0.0
Bus,18.806,1,24.9,0.189,18.58,0.964,0,1.3814
Car,19.297,1,1.0,0.842,38.3,0.127,1,4.40939
Motorcycle,11.657,1,131.79,0.705,24.49,0.456,1,1.40054
Motorcycle,10.991,1,111.31,0.78,23.38,0.931,0,1.44023
Car,14.146,1,1.0,0.976,16.56,0.516,1,3.21256
Walking,21.963,1,118.37,0.063,15.85,0.569,0,0.00652
Walking,10.201,1,116.65,0.618,35.92,0.949,0,0.0
Bus,37.781,1,25.77,0.378,33.12,0.54,0,2.72359
Motorcycle,11.69,1,126.6,0.229,31.66,0.169,1,1.23277
Walking,5.027,1,121.9,0.508,23.1,0.995,0,0.01121
Bus,6.038,1,6.87,0.228,29.13,0.051,1,1.5505
Walking,8.131,1,117.4,0.822,29.45,0.782,1,0.0
Bus,39.055,1,32.28,0.663,30.16,0.961,1,2.35255
Bus,19.631,1,7.71,0.46,16.46,0.745,0,4.81441
Car,10.166,2,2.0,0.273,13.32,0.956,1,1.07485
Motorcycle,14.033,1,120.92,0.761,31.24,0.175,0,1.72716
Bicycle,12.937,1,115.07,0.127,26.51,0.705,0,0.0
Bus,12.888,1,23.7,0.448,34.62,0.241,0,1.00358
Motorcycle,8.756,1,103.14,0.752,19.42,0.273,0,1.05664
Car,18.574,3,3.0,0.236,32.89,0.93,0,1.30121
Bus,8.915,1,26.63,0.081,10.47,0.477,0,0.57103
Bus,12.771,1,8.68,0.109,16.76,0.793,0,2.44581
Walking,26.397,1,126.72,0.402,18.04,0.606,1,0.0
Walking,5.336,1,123.16,0.195,11.74,0.949,1,0.0
Bus,6.232,1,24.17,0.812,17.94,0.913,1,0.49458
Car,3.835,5,5.0,0.965,17.94,0.43,0,0.16434
Bicycle,8.701,1,119.9,0.835,16.39,0.004,0,0.01029
Bus,13.09,1,16.78,0.81,12.67,0.395,1,1.41603
Car,19.105,2,2.0,0.41,24.38,0.862,1,2.04032
Metro,13.377,1,122.57,0.923,17.38,0.73,0,0.55825
Bicycle,23.002,1,117.5,0.464,18.68,0.796,0,0.0
Walking,12.588,1,119.66,0.135,38.31,0.402,1,0.0
Motorcycle,12.899,1,124.62,0.639,33.49,0.211,0,1.57006
Walking,0.805,1,123.0,0.867,19.17,0.619,1,0.0
Bicycle,12.544,1,105.88,0.441,36.3,0.527,1,0.00503
Bicycle,0.713,1,108.06,0.503,25.16,0.583,1,0.0
Bus,6.911,1,22.29,0.678,25.69,0.189,0,0.53982
Bicycle,17.016,1,139.1,0.352,29.15,0.474,0,0.0
Walking,12.043,1,122.26,0.788,21.48,0.98,0,0.0045
Walking,8.651,1,127.91,0.658,34.89,0.024,0,0.0
Motorcycle,6.732,1,114.88,0.348,35.95,0.031,1,0.7643
Bus,6.749,1,16.76,0.867,32.38,0.886,0,0.80655
Motorcycle,7.149,1,106.1,0.027,38.76,0.71,0,0.71199
Metro,12.151,1,116.37,0.64,16.05,0.888,1,0.47281
Bicycle,15.876,1,111.9,0.903,37.66,0.332,1,0.0
Motorcycle,20.319,1,114.7,0.99,12.22,0.133,1,2.48832
Bicycle,10.827,1,119.27,0.638,25.66,0.713,0,0.00915
Bus,3.035,1,11.44,0.261,14.61,0.246,1,0.4342
Walking,16.182,1,115.38,0.765,19.23,0.217,0,0.0
Bicycle,6.082,1,128.79,0.554,28.66,0.61,0,0.0007
Metro,3.722,1,114.96,0.074,23.41,0.409,0,0.16771
Car,4.799,4,4.0,0.83,26.37,0.76,0,0.26789
Metro,21.186,1,109.23,0.529,28.06,0.738,0,0.98134
Bus,16.35,1,26.87,0.451,15.43,0.217,1,1.01979
Metro,12.465,1,105.18,0.032,27.1,0.154,0,0.57156
Walking,9.971,1,117.56,0.412,32.79,0.231,0,0.00477
Walking,10.568,1,104.38,0.224,18.61,0.25,1,0.0017
Metro,16.112,1,123.87,0.639,35.8,0.933,1,0.6673
Bus,4.974,1,24.88,0.986,39.55,0.906,1,0.41253
Walking,3.951,1,124.63,0.506,29.1,0.408,0,0.01478
Bicycle,6.455,1,127.03,0.851,23.39,0.228,0,0.00033
Walking,7.64,1,114.87,0.656,18.25,0.065,1,0.00475
Walking,9.051,1,123.15,0.607,23.34,0.443,1,0.01413
Bus,12.603,1,16.33,0.904,26.48,0.15,1,1.51093
Bicycle,6.298,1,111.48,0.494,19.01,0.477,1,0.01425
Bicycle,16.734,1,116.35,0.018,23.18,0.644,0,0.0
Metro,2.436,1,128.2,0.475,28.1,0.246,1,0.09084
Walking,2.466,1,116.4,0.824,37.77,0.201,0,0.00603
Metro,15.657,1,120.26,0.763,39.11,0.906,0,0.62306
Motorcycle,14.997,1,129.52,0.615,22.52,0.572,1,1.77696
Metro,4.046,1,104.63,0.472,25.29,0.312,1,0.18442
Car,18.248,4,4.0,0.22,23.92,0.943,1,0.92471
Bicycle,27.655,1,110.7,0.242,28.56,0.927,0,0.0
Motorcycle,1.053,1,105.58,0.674,20.19,0.071,0,0.12414
Bus,12.223,1,12.77,0.52,35.28,0.446,1,1.72308
Walking,6.462,1,114.88,0.142,14.58,0.688,0,0.00238
Car,9.615,4,4.0,0.522,18.39,0.032,0,0.53808
Motorcycle,17.206,1,121.74,0.248,23.7,0.394,0,1.86948
Car,8.487,2,2.0,0.022,25.45,0.345,1,0.79642
Bus,13.492,1,19.85,0.601,32.92,0.285,1,1.23695
Bicycle,6.772,1,116.38,0.445,26.41,0.147,1,0.01123
Bus,9.575,1,27.51,0.324,24.39,0.978,0,0.62834
Bus,27.452,1,17.78,0.091,22.71,0.93,1,2.59115
Metro,11.274,1,109.33,0.448,18.38,0.855,1,0.49886
Bus,23.569,1,23.28,0.031,21.76,0.2,1,1.70844
Bicycle,4.464,1,127.38,0.349,31.5,0.467,1,0.0
Bus,16.072,1,18.82,0.343,11.17,0.495,1,1.64223
Car,13.274,5,5.0,0.607,31.31,0.714,1,0.5702
Bus,12.457,1,15.53,0.178,28.39,0.014,0,1.35587
Metro,7.904,1,104.18,0.274,10.98,0.279,0,0.35649
Walking,10.676,1,112.68,0.09,10.76,0.202,0,0.00158
Metro,17.283,1,116.26,0.315,33.22,0.765,1,0.74753
Bus,17.73,1,24.28,0.308,37.88,0.094,1,1.31237
Bus,2.021,1,24.17,0.77,33.98,0.602,1,0.14966
Bus,11.938,1,21.97,0.448,17.96,0.393,0,0.96298
Car,11.096,5,5.0,0.426,19.83,0.503,0,0.47734
Bus,10.058,1,35.65,0.566,22.4,0.824,1,0.56491
Motorcycle,7.68,1,113.61,0.142,25.79,0.17,0,0.85666
Bicycle,9.569,1,141.63,0.564,31.63,0.059,0,0.00937
Metro,7.765,1,119.49,0.663,13.56,0.937,0,0.32643
Walking,12.974,1,125.42,0.443,14.69,0.104,1,0.00579
Walking,23.476,1,124.84,0.088,13.42,0.93,1,0.0
Walking,5.109,1,117.6,0.19,36.95,0.253,0,0.00508
Bicycle,15.497,1,136.97,0.655,12.82,0.95,1,0.00017
Bicycle,9.378,1,136.09,0.537,18.91,0.061,0,0.00037
Bus,11.622,1,16.56,0.627,21.64,0.345,1,1.28477
Metro,10.964,1,128.65,0.522,37.29,0.794,0,0.41295
Car,17.425,5,5.0,0.093,26.86,0.127,0,0.68698
Car,6.12,3,3.0,0.629,28.37,0.755,1,0.44583
Walking,12.13,1,124.63,0.86,29.45,0.42,0,0.0
Motorcycle,27.345,1,111.65,0.888,32.93,0.2,0,3.47773
Motorcycle,5.323,1,127.54,0.299,11.19,0.728,1,0.60542
Car,21.753,2,2.0,0.472,24.58,0.436,1,2.25868
Bicycle,12.234,1,124.41,0.995,12.36,0.385,1,0.0
Bicycle,17.414,1,118.29,0.496,37.58,0.033,0,0.0
Car,18.717,3,3.0,0.986,16.27,0.198,0,1.368
Metro,22.627,1,128.84,0.139,22.85,0.69,0,0.93294
Walking,19.428,1,123.57,0.069,31.84,0.288,0,0.00928
Bicycle,44.269,1,115.94,0.024,11.69,0.854,1,0.0
Motorcycle,13.3,1,135.48,0.501,39.67,0.15,1,1.53401
Bicycle,24.37,1,123.97,0.685,17.9,0.419,0,0.0
Bus,13.752,1,27.12,0.251,20.95,0.15,1,0.90252
Walking,11.594,1,112.78,0.238,14.52,0.009,0,0.00085
Car,48.263,2,2.0,0.072,27.76,0.756,1,4.57988
Metro,17.654,1,118.59,0.189,13.72,0.555,0,0.74913
Motorcycle,9.989,1,110.52,0.247,26.68,0.297,1,1.1426
Metro,27.16,1,117.18,0.537,24.61,0.107,1,1.18503
Walking,4.957,1,111.19,0.198,32.96,0.097,1,0.0
Walking,14.543,1,120.34,0.757,34.85,0.718,1,0.0
Bus,16.312,1,5.13,0.664,23.11,0.756,0,5.68359
Bus,2.163,1,10.9,0.572,11.47,0.404,0,0.35565
Bicycle,7.266,1,122.25,0.79,28.74,0.538,1,0.0
Bicycle,12.61,1,101.02,0.679,12.71,0.592,0,0.0
Car,21.07,4,4.0,0.591,20.16,0.446,1,1.09538
Walking,8.298,1,116.51,0.143,15.79,0.373,1,0.0
Walking,30.947,1,128.22,0.816,21.5,0.773,1,0.0
Bicycle,12.487,1,118.96,0.884,25.66,0.552,1,0.00819
Motorcycle,44.891,1,116.34,0.95,34.87,0.277,1,5.68182
Car,5.219,4,4.0,0.463,22.59,0.119,1,0.25648
Bicycle,3.223,1,110.49,0.549,16.45,0.163,0,0.01323
Bicycle,10.388,1,116.53,0.913,37.07,0.829,0,0.00036
Metro,11.941,1,117.76,0.958,27.57,0.781,1,0.49828
Motorcycle,9.431,1,126.78,0.34,17.49,0.528,0,1.07019
Car,5.845,5,5.0,0.294,26.3,0.499,0,0.22282
Metro,6.674,1,124.42,0.262,23.91,0.031,1,0.27311
Metro,26.472,1,127.24,0.396,11.24,0.1,0,1.05241
Metro,11.225,1,120.09,0.827,26.36,0.62,0,0.48857
Bicycle,8.742,1,135.14,0.195,10.12,0.445,1,0.0
Bus,21.538,1,19.96,0.893,29.58,0.124,1,2.00055
Motorcycle,2.266,1,125.05,0.951,22.34,0.667,1,0.28838
Bus,7.024,1,34.17,0.233,29.98,0.351,0,0.34694
Walking,1.218,1,116.96,0.494,15.92,0.861,1,0.00359
Bicycle,10.617,1,133.46,0.932,27.14,0.422,1,0.0
Metro,14.213,1,125.12,0.497,36.63,0.63,1,0.54293
Metro,4.594,1,130.98,0.198,31.5,0.76,1,0.17716
Metro,19.698,1,131.28,0.799,29.94,0.846,0,0.75035
Walking,16.61,1,113.42,0.927,21.83,0.565,1,0.0
Car,24.943,5,5.0,0.246,24.75,0.806,0,1.04692
Metro,3.162,1,126.59,0.447,21.96,0.472,0,0.11609
Motorcycle,18.965,1,133.26,0.341,34.02,0.854,1,2.2081
Car,9.144,3,3.0,0.239,30.14,0.255,0,0.60238
Metro,9.854,1,129.12,0.875,14.98,0.82,1,0.37266
Car,16.111,4,4.0,0.388,34.37,0.71,1,0.90797
Metro,28.184,1,122.33,0.972,17.42,0.25,1,1.13999
Car,5.223,5,5.0,0.991,10.36,0.556,1,0.25282
Metro,4.401,1,117.22,0.741,33.54,0.137,0,0.182
Bus,10.118,1,23.53,0.334,18.16,0.46,1,0.76403
Motorcycle,27.1,1,105.81,0.844,15.25,0.765,1,3.34496
Bus,2.661,1,3.95,0.033,16.76,0.724,1,1.09494
Walking,9.798,1,131.19,0.698,30.22,0.525,0,0.0
Metro,18.149,1,126.68,0.945,23.36,0.675,0,0.63427
Walking,12.71,1,119.59,0.049,32.62,0.355,1,0.00068
Metro,11.155,1,128.31,0.103,29.13,0.351,0,0.4304
Motorcycle,6.466,1,112.76,0.385,35.08,0.075,0,0.69024
Bicycle,29.486,1,119.79,0.353,30.38,0.77,0,0.01392
Walking,5.099,1,113.35,0.245,19.86,0.731,1,0.0
Motorcycle,9.064,1,111.58,0.04,10.85,0.559,1,1.00782
Motorcycle,3.641,1,122.65,0.679,11.62,0.956,1,0.44336
Walking,18.502,1,114.45,0.736,16.66,0.451,1,0.00968
Bus,15.239,1,16.69,0.27,21.15,0.046,0,1.56988
Bicycle,4.39,1,114.71,0.588,16.98,0.064,0,0.00011
Bicycle,9.848,1,116.4,0.321,32.74,0.94,0,0.011
Metro,16.226,1,117.94,0.318,13.13,0.415,1,0.69761
Car,4.515,2,2.0,0.621,23.73,0.02,0,0.46699
Walking,7.764,1,115.73,0.001,14.86,0.094,0,0.0078
Motorcycle,17.995,1,122.39,0.941,13.25,0.127,0,2.21172
Walking,32.581,1,139.95,0.088,39.24,0.204,1,0.0
Metro,9.48,1,121.85,0.997,21.37,0.649,0,0.39746
Metro,16.806,1,111.64,0.149,26.0,0.674,0,0.76596
Motorcycle,25.21,1,121.95,0.709,39.98,0.007,0,2.97754
Car,4.927,4,4.0,0.684,27.64,0.365,0,0.26216
Bicycle,14.597,1,120.52,0.667,24.15,0.322,1,0.0
Car,11.171,5,5.0,0.815,15.06,0.284,0,0.51196
Car,17.022,2,2.0,0.875,14.61,0.777,0,1.98691
Car,7.966,4,4.0,0.012,17.44,0.914,0,0.3954
Metro,3.593,1,120.63,0.543,19.61,0.283,1,0.13247
Walking,6.736,1,120.33,0.931,25.17,0.82,0,0.00544
Bicycle,31.991,1,102.12,0.278,12.99,0.606,1,0.01831
Bicycle,18.759,1,121.79,0.61,33.73,0.822,0,0.00899
Walking,12.49,1,117.51,0.21,39.38,0.098,1,0.01056
Metro,25.083,1,113.99,0.111,12.39,0.751,1,1.07147
Motorcycle,12.07,1,123.38,0.709,38.44,0.092,1,1.46013
Bus,7.993,1,2.0,0.571,19.42,0.141,0,7.23512
Walking,3.378,1,122.44,0.064,17.62,0.23,1,0.0141
Car,34.347,4,4.0,0.184,29.07,0.38,0,1.75523
Walking,12.846,1,109.24,0.461,29.28,0.919,1,0.0
Motorcycle,26.806,1,122.07,0.615,24.87,0.617,0,3.36849
Car,12.027,5,5.0,0.244,36.48,0.374,0,0.48743
Walking,3.594,1,126.56,0.016,38.92,0.816,0,0.01966
Car,8.399,5,5.0,0.611,28.26,0.267,0,0.39437
Motorcycle,7.834,1,120.95,0.316,16.16,0.454,1,0.89204
Metro,26.184,1,113.9,0.39,17.73,0.17,1,1.07724
Walking,5.155,1,119.2,0.676,19.94,0.646,0,0.00487
Motorcycle,11.348,1,113.32,0.656,23.54,0.632,0,1.35233
Car,11.851,4,4.0,0.332,19.94,0.454,0,0.64303
Bicycle,4.864,1,116.39,0.944,22.8,0.901,0,0.0
Bicycle,21.912,1,139.77,0.057,33.31,0.377,0,0.00256
Metro,35.114,1,126.87,0.639,32.05,0.712,0,1.4221
Motorcycle,10.2,1,109.93,0.124,15.58,0.332,0,1.10644
Walking,7.12,1,110.71,0.964,14.28,0.715,0,0.01238
Car,19.044,4,4.0,0.077,28.12,0.987,1,1.04749
Bicycle,15.382,1,115.82,0.867,20.94,0.004,0,0.00758
Metro,11.289,1,113.5,0.058,12.42,0.727,0,0.4943
Walking,16.984,1,118.77,0.553,31.0,0.648,1,0.00688
Bus,14.941,1,22.45,0.762,37.68,0.917,1,1.32093
Metro,6.012,1,115.01,0.109,12.86,0.352,0,0.26255
Bicycle,33.361,1,144.25,0.013,18.42,0.331,1,0.00836
Motorcycle,9.434,1,121.91,0.808,30.32,0.195,0,1.12123
Metro,5.467,1,117.89,0.1,14.93,0.133,0,0.23372
Walking,16.237,1,122.72,0.563,37.57,0.3,0,0.01064
Car,16.359,4,4.0,0.473,39.14,0.553,1,0.89284
Walking,13.395,1,108.02,0.309,26.96,0.043,0,0.0
Car,5.735,4,4.0,0.339,16.84,0.189,1,0.28543
Bicycle,9.421,1,109.59,0.642,31.3,0.704,1,0.01163
Bicycle,8.133,1,123.43,0.665,11.01,0.276,0,0.0
Car,10.579,1,1.0,0.09,23.0,0.353,0,2.01802
Bicycle,37.868,1,131.42,0.756,24.91,0.479,1,0.00255
Car,4.814,5,5.0,0.999,31.56,0.047,1,0.21793
Car,26.305,1,1.0,0.937,26.38,0.617,1,6.34989
Bus,3.817,1,11.18,0.311,10.37,0.434,0,0.60261
Car,3.097,5,5.0,0.407,35.46,0.506,1,0.14216
